;Íמלונ;Âנולÿ;Èםסענףלוםע;Öוםא;Êמכ-גמ;Îבתול;Îןונאצטÿ
1;5 082 838 400 000;10:00:21;LKOD [LSE_IOB];69.7;48;3 345.60;
2;5 082 838 400 001;10:00:34;LKOD [LSE_IOB];69.74;200;13 948.00;
3;5 082 838 400 002;10:00:34;LKOD [LSE_IOB];69.74;77;5 369.98;
4;5 082 838 400 003;10:00:34;LKOD [LSE_IOB];69.72;77;5 368.44;
5;5 082 838 400 004;10:00:34;LKOD [LSE_IOB];69.72;77;5 368.44;
6;5 082 838 400 005;10:00:46;LKOD [LSE_IOB];69.68;68;4 738.24;
7;5 082 838 400 006;10:00:46;LKOD [LSE_IOB];69.68;77;5 365.36;
8;5 082 838 400 007;10:00:46;LKOD [LSE_IOB];69.66;77;5 363.82;
9;5 082 838 400 008;10:00:57;LKOD [LSE_IOB];69.58;70;4 870.60;
10;5 082 838 400 009;10:01:00;LKOD [LSE_IOB];69.58;200;13 916.00;
11;5 082 838 400 010;10:01:00;LKOD [LSE_IOB];69.5;27;1 876.50;
12;5 082 838 400 011;10:01:00;LKOD [LSE_IOB];69.5;173;12 023.50;
13;5 082 838 400 012;10:01:00;LKOD [LSE_IOB];69.48;30;2 084.40;
14;5 082 838 400 013;10:01:00;LKOD [LSE_IOB];69.48;59;4 099.32;
15;5 082 838 400 014;10:01:01;LKOD [LSE_IOB];69.46;67;4 653.82;
16;5 082 838 400 015;10:01:03;LKOD [LSE_IOB];69.48;77;5 349.96;
17;5 082 838 400 016;10:01:06;LKOD [LSE_IOB];69.58;57;3 966.06;
18;5 082 838 400 017;10:01:06;LKOD [LSE_IOB];69.54;5;347.7;
19;5 082 838 400 018;10:01:06;LKOD [LSE_IOB];69.54;195;13 560.30;
20;5 082 838 400 019;10:01:06;LKOD [LSE_IOB];69.54;77;5 354.58;
21;5 082 838 400 020;10:01:09;LKOD [LSE_IOB];69.5;32;2 224.00;
22;5 082 838 400 021;10:01:09;LKOD [LSE_IOB];69.5;93;6 463.50;
23;5 082 838 400 022;10:01:09;LKOD [LSE_IOB];69.5;77;5 351.50;
24;5 082 838 400 023;10:01:26;LKOD [LSE_IOB];69.64;56;3 899.84;
25;5 082 838 400 024;10:01:46;LKOD [LSE_IOB];69.68;45;3 135.60;
26;5 082 838 400 025;10:01:47;LKOD [LSE_IOB];69.62;200;13 924.00;
27;5 082 838 400 026;10:01:47;LKOD [LSE_IOB];69.62;100;6 962.00;
28;5 082 838 400 027;10:01:48;LKOD [LSE_IOB];69.62;300;20 886.00;
29;5 082 838 400 028;10:01:48;LKOD [LSE_IOB];69.62;94;6 544.28;
30;5 082 838 400 029;10:02:00;LKOD [LSE_IOB];69.68;17;1 184.56;
31;5 082 838 400 030;10:02:06;LKOD [LSE_IOB];69.68;200;13 936.00;
32;5 082 838 400 031;10:02:06;LKOD [LSE_IOB];69.68;72;5 016.96;
33;5 082 838 400 032;10:02:21;LKOD [LSE_IOB];69.8;58;4 048.40;
34;5 082 838 400 033;10:02:21;LKOD [LSE_IOB];69.8;54;3 769.20;
35;5 082 838 400 034;10:02:21;LKOD [LSE_IOB];69.8;80;5 584.00;
36;5 082 838 400 035;10:03:04;LKOD [LSE_IOB];69.86;72;5 029.92;
37;5 082 838 400 036;10:03:04;LKOD [LSE_IOB];69.86;249;17 395.14;
38;5 082 838 400 037;10:03:04;LKOD [LSE_IOB];69.86;178;12 435.08;
39;5 082 838 400 038;10:03:06;LKOD [LSE_IOB];69.84;28;1 955.52;
40;5 082 838 400 039;10:03:12;LKOD [LSE_IOB];69.8;150;10 470.00;
41;5 082 838 400 040;10:03:12;LKOD [LSE_IOB];69.76;200;13 952.00;
42;5 082 838 400 041;10:03:17;LKOD [LSE_IOB];69.74;150;10 461.00;
43;5 082 838 400 042;10:03:17;LKOD [LSE_IOB];69.74;200;13 948.00;
44;5 082 838 400 043;10:03:17;LKOD [LSE_IOB];69.74;132;9 205.68;
45;5 082 838 400 044;10:03:17;LKOD [LSE_IOB];69.74;75;5 230.50;
46;5 082 838 400 045;10:03:17;LKOD [LSE_IOB];69.72;100;6 972.00;
47;5 082 838 400 046;10:03:17;LKOD [LSE_IOB];69.72;132;9 203.04;
48;5 082 838 400 047;10:03:17;LKOD [LSE_IOB];69.7;94;6 551.80;
49;5 082 838 400 048;10:03:53;LKOD [LSE_IOB];69.76;200;13 952.00;
50;5 082 838 400 049;10:04:02;LKOD [LSE_IOB];69.76;4;279.04;
51;5 082 838 400 050;10:04:02;LKOD [LSE_IOB];69.76;17;1 185.92;
52;5 082 838 400 051;10:04:02;LKOD [LSE_IOB];69.76;173;12 068.48;
53;5 082 838 400 052;10:04:02;LKOD [LSE_IOB];69.76;21;1 464.96;
54;5 082 838 400 053;10:04:10;LKOD [LSE_IOB];69.78;143;9 978.54;
55;5 082 838 400 054;10:04:14;LKOD [LSE_IOB];69.86;150;10 479.00;
56;5 082 838 400 055;10:04:16;LKOD [LSE_IOB];69.82;150;10 473.00;
57;5 082 838 400 056;10:04:16;LKOD [LSE_IOB];69.82;50;3 491.00;
58;5 082 838 400 057;10:04:16;LKOD [LSE_IOB];69.82;15;1 047.30;
59;5 082 838 400 058;10:04:36;LKOD [LSE_IOB];69.82;150;10 473.00;
60;5 082 838 400 059;10:05:18;LKOD [LSE_IOB];69.84;171;11 942.64;
61;5 082 838 400 060;10:05:18;LKOD [LSE_IOB];69.84;129;9 009.36;
62;5 082 838 400 061;10:05:23;LKOD [LSE_IOB];69.8;200;13 960.00;
63;5 082 838 400 062;10:05:23;LKOD [LSE_IOB];69.78;173;12 071.94;
64;5 082 838 400 063;10:05:23;LKOD [LSE_IOB];69.78;21;1 465.38;
65;5 082 838 400 064;10:05:23;LKOD [LSE_IOB];69.78;6;418.68;
66;5 082 838 400 065;10:05:23;LKOD [LSE_IOB];69.78;75;5 233.50;
67;5 082 838 400 066;10:05:28;LKOD [LSE_IOB];69.78;56;3 907.68;
68;5 082 838 400 067;10:05:29;LKOD [LSE_IOB];69.8;200;13 960.00;
69;5 082 838 400 068;10:05:29;LKOD [LSE_IOB];69.78;125;8 722.50;
70;5 082 838 400 069;10:05:31;LKOD [LSE_IOB];69.8;3;209.4;
71;5 082 838 400 070;10:05:33;LKOD [LSE_IOB];69.8;154;10 749.20;
72;5 082 838 400 071;10:05:33;LKOD [LSE_IOB];69.8;56;3 908.80;
73;5 082 838 400 072;10:05:33;LKOD [LSE_IOB];69.8;108;7 538.40;
74;5 082 838 400 073;10:05:55;LKOD [LSE_IOB];69.84;66;4 609.44;
75;5 082 838 400 074;10:06:06;LKOD [LSE_IOB];69.84;300;20 952.00;
76;5 082 838 400 075;10:06:14;LKOD [LSE_IOB];69.82;150;10 473.00;
77;5 082 838 400 076;10:06:17;LKOD [LSE_IOB];69.84;156;10 895.04;
78;5 082 838 400 077;10:06:32;LKOD [LSE_IOB];69.78;150;10 467.00;
79;5 082 838 400 078;10:06:32;LKOD [LSE_IOB];69.78;89;6 210.42;
80;5 082 838 400 079;10:06:39;LKOD [LSE_IOB];69.76;54;3 767.04;
81;5 082 838 400 080;10:06:39;LKOD [LSE_IOB];69.76;146;10 184.96;
82;5 082 838 400 081;10:06:39;LKOD [LSE_IOB];69.74;30;2 092.20;
83;5 082 838 400 082;10:06:39;LKOD [LSE_IOB];69.74;500;34 870.00;
84;5 082 838 400 083;10:06:39;LKOD [LSE_IOB];69.72;200;13 944.00;
85;5 082 838 400 084;10:06:39;LKOD [LSE_IOB];69.74;57;3 975.18;
86;5 082 838 400 085;10:06:39;LKOD [LSE_IOB];69.74;57;3 975.18;
87;5 082 838 400 086;10:06:39;LKOD [LSE_IOB];69.74;144;10 042.56;
88;5 082 838 400 087;10:06:39;LKOD [LSE_IOB];69.74;89;6 206.86;
