date;open;high;low;close
03.10.2020 19:35;100.66;100.66;100.66;100.66
03.10.2020 19:29;100.94;101.04;100.68;100.82
03.10.2020 19:28;101.14;101.26;100.96;100.96
03.10.2020 19:27;101.20;101.28;101.16;101.16
03.10.2020 19:26;101.54;101.68;101.18;101.18
03.10.2020 19:25;101.56;101.60;101.46;101.54
03.10.2020 19:24;101.60;101.64;101.42;101.64
03.10.2020 19:23;101.48;101.74;101.48;101.64
03.10.2020 19:22;101.54;101.54;101.38;101.48
03.10.2020 19:21;101.86;101.86;101.52;101.52
03.10.2020 19:20;101.92;101.92;101.76;101.88
03.10.2020 19:19;101.78;101.96;101.78;101.90
03.10.2020 19:18;101.76;101.90;101.68;101.74
03.10.2020 19:17;102.14;102.22;101.72;101.74
03.10.2020 19:16;102.26;102.36;102.14;102.16
03.10.2020 19:15;102.04;102.26;102.02;102.26
03.10.2020 19:14;102.08;102.18;101.96;102.02
03.10.2020 19:13;102.06;102.12;101.96;102.06
03.10.2020 19:12;101.78;102.06;101.74;102.06
03.10.2020 19:11;101.60;101.92;101.46;101.80
03.10.2020 19:10;101.54;101.70;101.48;101.58
03.10.2020 19:09;101.42;101.64;101.36;101.52
03.10.2020 19:08;101.42;101.44;101.24;101.40
03.10.2020 19:07;101.52;101.56;101.26;101.44
03.10.2020 19:06;101.36;101.56;101.36;101.52
03.10.2020 19:05;101.44;101.48;101.26;101.36
03.10.2020 19:04;101.78;101.82;101.36;101.42
03.10.2020 19:03;101.84;101.88;101.66;101.74
03.10.2020 19:02;101.72;101.88;101.70;101.84
03.10.2020 19:01;101.72;101.76;101.62;101.76
03.10.2020 19:00;101.24;101.76;101.24;101.74
03.10.2020 18:59;101.40;101.58;101.10;101.22
03.10.2020 18:58;101.18;101.54;101.18;101.44
03.10.2020 18:57;100.88;101.22;100.82;101.22
03.10.2020 18:56;101.24;101.24;100.90;100.90
03.10.2020 18:55;101.12;101.36;101.12;101.26
03.10.2020 18:54;101.18;101.18;101.00;101.14
03.10.2020 18:53;101.50;101.50;101.12;101.18
03.10.2020 18:52;101.58;101.62;101.30;101.48
03.10.2020 18:51;101.70;101.84;101.58;101.58
03.10.2020 18:50;102.16;102.22;101.70;101.70
03.10.2020 18:49;102.34;102.36;102.12;102.20
03.10.2020 18:48;102.18;102.44;102.18;102.36
03.10.2020 18:47;102.26;102.34;102.08;102.24
03.10.2020 18:46;102.14;102.52;102.08;102.26
03.10.2020 18:45;101.70;102.16;101.52;102.12
03.10.2020 18:44;101.10;101.70;101.00;101.70
03.10.2020 18:43;101.04;101.16;100.92;101.10
03.10.2020 18:42;100.50;101.06;100.50;101.04
03.10.2020 18:41;100.44;100.64;100.42;100.52
03.10.2020 18:40;100.78;100.84;100.46;100.46
03.10.2020 18:39;100.78;100.88;100.74;100.82
