date;open;high;low;close
03.09.2020 19:34;80.49;80.49;80.49;80.49
03.09.2020 19:29;80.90;80.98;80.83;80.83
03.09.2020 19:28;80.81;80.95;80.75;80.93
03.09.2020 19:27;80.88;80.92;80.81;80.83
03.09.2020 19:26;80.95;81.00;80.79;80.86
03.09.2020 19:25;80.94;80.97;80.88;80.95
03.09.2020 19:24;81.06;81.06;80.89;80.94
03.09.2020 19:23;81.14;81.16;81.03;81.05
03.09.2020 19:22;81.19;81.29;81.12;81.16
03.09.2020 19:21;81.14;81.21;81.11;81.17
03.09.2020 19:20;81.27;81.30;81.15;81.19
03.09.2020 19:19;81.26;81.32;81.22;81.26
03.09.2020 19:18;81.42;81.46;81.25;81.26
03.09.2020 19:17;81.60;81.60;81.41;81.42
03.09.2020 19:16;81.62;81.67;81.54;81.59
03.09.2020 19:15;81.70;81.78;81.54;81.61
03.09.2020 19:14;81.61;81.70;81.52;81.68
03.09.2020 19:13;81.68;81.68;81.58;81.61
03.09.2020 19:12;81.69;81.80;81.68;81.69
03.09.2020 19:11;81.79;81.88;81.69;81.70
03.09.2020 19:10;81.76;81.86;81.74;81.80
03.09.2020 19:09;81.89;81.90;81.76;81.76
03.09.2020 19:08;81.87;81.92;81.82;81.87
03.09.2020 19:07;81.72;81.88;81.72;81.88
03.09.2020 19:06;81.54;81.72;81.50;81.72
03.09.2020 19:05;81.43;81.58;81.38;81.56
03.09.2020 19:04;81.40;81.45;81.38;81.44
03.09.2020 19:03;81.43;81.45;81.37;81.37
03.09.2020 19:02;81.37;81.50;81.37;81.42
03.09.2020 19:01;81.45;81.52;81.38;81.38
03.09.2020 19:00;81.48;81.53;81.41;81.45
03.09.2020 18:59;81.71;81.75;81.47;81.47
03.09.2020 18:58;81.73;81.77;81.64;81.70
03.09.2020 18:57;81.72;81.78;81.66;81.73
03.09.2020 18:56;81.60;81.75;81.59;81.72
03.09.2020 18:55;81.71;81.73;81.58;81.58
03.09.2020 18:54;81.65;81.69;81.51;81.68
03.09.2020 18:53;81.73;81.73;81.59;81.67
03.09.2020 18:52;81.71;81.75;81.69;81.74
03.09.2020 18:51;81.83;81.83;81.68;81.70
03.09.2020 18:50;81.77;81.85;81.73;81.83
03.09.2020 18:49;81.69;81.85;81.69;81.77
03.09.2020 18:48;81.77;81.81;81.67;81.67
03.09.2020 18:47;81.58;81.79;81.58;81.78
03.09.2020 18:46;81.64;81.77;81.49;81.56
03.09.2020 18:45;81.44;81.64;81.42;81.64
03.09.2020 18:44;81.48;81.58;81.41;81.46
03.09.2020 18:43;81.51;81.55;81.46;81.48
03.09.2020 18:42;81.44;81.54;81.38;81.50
03.09.2020 18:41;81.33;81.46;81.31;81.44
03.09.2020 18:40;81.42;81.42;81.27;81.32
03.09.2020 18:39;81.39;81.47;81.30;81.42
03.09.2020 18:38;81.35;81.45;81.32;81.40
03.09.2020 18:37;81.25;81.34;81.22;81.32
03.09.2020 18:36;81.22;81.33;81.18;81.22
03.09.2020 18:35;81.05;81.24;81.02;81.23
03.09.2020 18:34;80.99;81.14;80.99;81.08
03.09.2020 18:33;80.96;81.04;80.87;81.01
03.09.2020 18:32;80.95;81.01;80.81;80.96
03.09.2020 18:31;80.90;81.02;80.86;80.96
03.09.2020 18:30;81.01;81.02;80.81;80.90
03.09.2020 18:29;80.88;81.13;80.86;81.01
03.09.2020 18:28;80.88;80.91;80.82;80.87
03.09.2020 18:27;81.07;81.08;80.88;80.88
03.09.2020 18:26;81.06;81.11;81.01;81.06
03.09.2020 18:25;81.08;81.15;81.02;81.02
03.09.2020 18:24;81.05;81.12;80.97;81.06
03.09.2020 18:23;81.10;81.25;81.00;81.04
